Groupe 1 : Bâtiments et Infrastructures Sportives;;;;;
Code;Désignation/Caractéristiques;Conditionnement;Minimum;Moyen;Maximum
03.1.1.3.1.0.004;Béton armé dosé à 350 kg/m³ pour semelles filantes;m³;165 000;187 500;197 917
03.1.1.3.1.0.005;Béton armé dosé à 350 kg/m³ pour semelles isolées;m³;165 000;187 500;197 917
03.1.1.3.1.0.006;Béton armé hydrofuge dosé à 400 kg/m³ pour semelles;m³;220 000;234 165;250 000
03.1.1.3.1.0.007;Béton cyclopéen dosé à 250 kg/m³ pour fondation;m³;105 000;108 335;115 000
03.1.1.3.1.0.008;Béton cyclopéen dosé à 300 kg/m³ pour fondation;m³;120 000;123 335;130 000
03.1.1.3.1.0.009;Béton de propreté dosé à 150 kg/m³;m³;59 000;61 835;65 000
03.1.1.3.1.0.010;Béton légèrement armé pour dallage dosé à 300 kg/m³ et socles y compris chape lisse;m³;155 000;164 165;170 000
03.1.1.3.1.0.012;Fourniture et pose film polyane sous dallage ép. 200 microns;m²;1 750;1 875;2 000
03.1.1.3.1.0.013;Maçonnerie en agglos pleins de 10x20x40 cm confectionné manuellement;m²;4 500;4 710;5 000
03.1.1.3.1.0.014;Maçonnerie en agglos pleins de 15x20x40 cm confectionné manuellement;m²;8 500;8 915;9 500
03.1.1.3.1.0.015;Maçonnerie en agglos pleins de 20x20x40 cm confectionné manuellement;m²;9 000;9 415;10 000
03.1.1.3.1.0.016;Maçonnerie en agglos pleins de 10x20x40 cm confectionné mécaniquement;m²;8 750;9 165;9 750
03.1.1.3.1.0.017;Maçonnerie en agglos pleins de 15x20x40 cm confectionné mécaniquement;m²;10 000;10 415;11 000
03.1.1.3.1.0.018;Maçonnerie en agglos pleins de 20x20x40 cm confectionné mécaniquement;m²;11 000;11 415;12 000
03.1.1.3.2;BATIMENT COMPLEXE (Ouvrages complexes, soit du fait de jonction ou de superposition d’éléments, soit du fait particulier de la composition de la structure, des aménagements, des équipements) : BATIMENT ADMINISTRATIF,  SALLE POLYVALENTE, INFRASTRUCTURES UNIVERSITAIRES, HOSPITALIER, SPORTIVE ETC.;;;;
03.1.1.3.2.0.001;Barbotine dans les fouilles;m²;3 500;3 760;4 000
03.1.1.3.2.0.002;Béton armé dosé à 350 kg/m³ pour amorces de poteaux;m³;187 500;197 915;215 000
03.1.1.3.2.0.003;Béton armé dosé à 350 kg/m³ pour chaînage bas;m³;187 500;197 915;215 000
03.1.1.3.2.0.004;Béton armé dosé à 350 kg/m³ pour semelles filantes;m³;187 500;197 915;215 000
03.1.1.3.2.0.005;Béton armé dosé à 350 kg/m³ pour semelles isolées;m³;187 500;197 915;215 000
03.1.1.3.2.0.006;Béton armé hydrofuge dosé à 400 kg/m³ pour semelles;m³;210 000;227 145;240 000
03.1.1.3.2.0.007;Béton de propreté dosé à 150 kg/m³;m³;59 000;62 285;65 000
03.1.1.3.2.0.008;Béton légèrement armé pour dallage dosé à 300 kg/m³ et socles d'épaisseur 10 cm y compris chape incorporée et bouchardée;m³;155 000;165 000;170 000
03.1.1.3.2.0.011;Fourniture et pose film polyane sous dallage ép. 200 microns;m²;1 750;1 895;2 000
03.1.1.3.2.0.012;Maçonnerie en agglos pleins de 10x20x40 cm confectionné manuellement;m²;5 000;5 210;5 500
03.1.1.3.2.0.013;Maçonnerie en agglos pleins de 15x20x40 cm confectionné manuellement;m²;8 500;9 000;9 500
03.1.1.3.2.0.014;Maçonnerie en agglos pleins de 20x20x40 cm confectionné manuellement;m²;9 000;9 415;10 000
03.1.1.3.2.0.015;Maçonnerie en agglos pleins de 10x20x40 cm confectionné mécaniquement;m²;8 500;9 000;9 500
03.1.1.3.2.0.017;Maçonnerie en agglos pleins de 20x20x40 cm confectionné mécaniquement;m²;11 000;11 500;12 000
03.1.1.3.2.0.018;Traitement anti-termites y compris film polyéthylène ép. 200 microns posé par thermolaquage;m²;3 000;3 105;3 250
03.1.1.4;SUPERSTRUCTURES;;;;
03.1.1.4.1;BATIMENT SIMPLE A TOITURE LEGERE (Ouvrages organisés et équipés ne comportant pas de superposition d’éléments.)  : ECOLE, CSPS, LOGEMENT, LATRINE, BATIMENT ADMINISTRATIF, ETC.;;;;
03.1.1.4.1.0.001;Béton  armé dosé à 350 kg/m³ pour chainage;m³;187 500;197 915;215 000
03.1.1.4.1.0.002;Béton armé dosé à 300 kg/m³  pour appuis de baies;m³;155 000;166 000;170 000
03.1.1.4.1.0.003;Béton armé dosé à 300 kg/m³  pour marches d'accès et emmarchement;m³;155 000;166 000;170 000
03.1.1.4.1.0.004;Béton armé dosé à 350 kg/m³  pour  couronnement;m³;187 500;197 915;215 000
03.1.1.4.1.0.005;Béton armé dosé à 350 kg/m³  pour acrotère (appui de tôle);m³;187 500;197 915;215 000
03.1.1.4.1.0.006;Béton armé dosé à 350 kg/m³  pour chainage d'arase;m³;187 500;197 915;215 000
03.1.1.4.1.0.007;Béton armé dosé à 350 kg/m³  pour élément décoratif;m³;187 500;197 915;215 000
03.1.1.4.1.0.008;Béton armé dosé à 350 kg/m³  pour linteaux;m³;187 500;197 915;215 000
03.1.1.4.1.0.009;Béton armé dosé à 350 kg/m³  pour poteaux;m³;187 500;197 915;215 000
03.1.1.4.1.0.010;Béton armé dosé à 350 kg/m³  pour poutres;m³;187 500;197 915;215 000
03.1.1.4.1.0.011;Béton armé dosé à 350 kg/m³  pour raidisseurs;m³;187 500;197 915;215 000
03.1.1.4.1.0.012;Béton armé dosé à 350 kg/m³  pour chainage rampant;m³;187 500;197 915;215 000
03.1.1.4.1.0.013;Béton non armé dosé à 300 kg/m³ pour estrade et marche d'entrée;m³;155 000;166 000;170 000
03.1.1.4.1.0.014;Béton non armé dosé à 300 kg/m³ pour rampe d'accès;m³;155 000;166 000;170 000
03.1.1.4.1.0.015;Béton armé hydrofuge dosé à 400kg/m³;m³;210 000;222 000;240 000
03.1.1.4.1.0.016;Chape lisse;m²;10 000;11 000;12 000
03.1.1.4.1.0.018;Claustras de ventilation munis de grillage anti insectes;Unité;1 250;1 370;1 500
03.1.1.4.1.0.019;Enduit lisse dosé à 600kg/m³ pour tableau d'épaisseur 6 cm y compris grillage poulailler;m²;5 900;5 980;6 000
03.1.1.4.1.0.020;Enduit extérieur d'esthétique dosé à 400kg/m³ d'épaisseur 2,50cm sur la façade;m²;5 300;5 740;6 000
03.1.1.4.1.0.021;Enduit extérieur taloché dosé à 400kg/m³ d'épaisseur 2,50cm;m²;5 300;5 740;6 000
03.1.1.4.1.0.022;Enduit intérieur bicouche dosé à 400kg/m³ d'épaisseur 4,00cm y compris raccordement;m²;5 300;5 740;6 000
03.1.1.4.1.0.023;Enduit intérieur lissé dosé à 400kg/m³ d'épaisseur 2,50cm;m²;5 300;5 740;6 000
03.1.1.4.1.0.024;Enduit intérieur dosé à 400kg/m³ d'épaisseur 2,50cm y compris raccordement et calfeutrement;m²;5 300;5 740;6 000
03.1.1.4.1.0.025;Enduit tyrolien;m²;2 500;2 750;3 000
03.1.1.4.1.0.026;Enduits tyroliens au ciment blanc écrasés;m²;2 500;2 750;3 000
03.1.1.4.1.0.027;Fourniture et pose de polystyrène de 0,10 cm pour joint de dilatation;m²;2 500;2 750;3 000
03.1.1.4.1.0.028;Fourniture et pose de polystyrène de 0,10 cm pour joint de dilatation avec couvre joint en alu;ml;1 250;1 370;1 500
03.1.1.4.1.0.029;Fourniture et pose de polystyrène de 2 cm pour joint de dilation;m²;5 000;5 250;5 500
03.1.1.4.1.0.030;Fourniture et pose de polystyrène de 2 cm pour joint de dilatation avec couvre joint en alu;ml;1 600;1 720;1 850
03.1.1.4.1.0.031;Fourniture et pose de polystyrène de 2,5 cm pour joint de dilatation avec couvre joint en alu;ml;4 100;4 220;4 350
03.1.1.4.1.0.032;Fourniture et pose de polystyrène de 2,5 cm  pour joint de dilation;m²;10 000;10 250;10 500
03.1.1.4.1.0.033;Lit de sable sous dallage d'une épaisseur de 10 cm;m²;2 250;2 400;2 500
03.1.1.4.1.0.034;Lit de sable sous dallage d'une épaisseur de 5 cm;m²;1 125;1 200;1 250
03.1.1.4.1.0.036;Maçonnerie d'agglos creux de 15x20x40 cm confectionné manuellement;m²;8 250;8 650;9 000
03.1.1.4.1.0.037;Maçonnerie d'agglos creux de 20x20x40 cm confectionné manuellement;m²;10 250;10 650;11 000
03.1.1.4.1.0.038;Maçonnerie d'agglos creux de 10x20x40 cm confectionné mécaniquement;m²;7 250;7 650;8 000
03.1.1.4.1.0.039;Maçonnerie d'agglos creux de 15x20x40 cm confectionné mécaniquement;m²;10 250;10 650;11 000
03.1.1.4.1.0.040;Maçonnerie d'agglos creux de 20x20x40 cm confectionné mécaniquement;m²;13 250;13 650;14 000
03.1.1.4.1.0.041;Raccordement et calfeutrement des ouvertures;m²;15 250;15 650;16 000
03.1.1.4.1.0.042;Maçonnerie en brique pleine de terre cuite de 22x11x5 cm;m²;15 000;15 465;16 000
03.1.1.4.1.0.043;Maçonnerie en brique pleine de terre cuite de 30x14x6 cm;m²;16 000;16 800;17 500
03.1.1.4.1.0.044;Maçonnerie en brique pleine de terre cuite de 30x14x7 cm;m²;16 000;16 800;17 500
03.1.1.4.1.0.045;Maçonnerie en brique pleine de terre cuite de 30x14x8 cm;m²;17 000;18 465;20 000
03.1.1.4.1.0.046;Revêtement en briquette céramique 22x5x2 cm;m²;21 000;22 965;25 000
03.1.1.4.1.0.047;Revêtement en plaquette céramique 22x11x2 cm;m²;21 000;22 965;25 000
03.1.1.4.1.0.048;Revêtement en briquette de terre cuite 22x5x2 cm;m²;21 000;22 965;25 000
03.1.1.4.1.0.049;Maçonnerie en brique pleine céramique de 30x14x8 cm;m²;21 000;22 965;25 000
03.1.1.4.1.0.050;Maçonnerie en bloc latéritique taillé (BLT) de 40x20x15 cm pour mur porteur;m²;12 500;13 750;15 000
03.1.1.4.1.0.051;Maçonnerie en bloc latéritique taillé (BLT) de 40x15x15 cm pour mur porteur;m²;12 500;13 750;15 000
03.1.1.4.1.0.052;Maçonnerie en bloc latéritique taillé (BLT) de 30x20x15 cm pour mur porteur;m²;12 500;13 750;15 000
03.1.1.4.1.0.053;Maçonnerie en bloc latéritique taillé (BLT) de 30x15x15 cm pour mur remplissage;m²;12 500;13 750;15 000
03.1.1.4.2;BATIMENT COMPLEXE (Ouvrages complexes, soit du fait de jonction ou de superposition d’éléments, soit du fait particulier de la composition de la structure, des aménagements, des équipements) : BATIMENT ADMINISTRATIF,  SALLE POLYVALENTE, INFRASTRUCTURES UNIVERSITAIRES, HOSPITALIER, SPORTIVE ETC.;;;;
03.1.1.4.2.0.001;Béton  armé dosé à 350kg/m³ pour chainage;m³;187 500;197 915;215 000
03.1.1.4.2.0.002;Béton armé dosé à 300 kg/m³ pour appuis de baies;m³;187 500;197 915;215 000
03.1.1.4.2.0.003;Béton armé dosé à 350 kg/m³ pour  couronnement;m³;187 500;197 915;215 000
03.1.1.4.2.0.004;Béton armé dosé à 350 kg/m³ pour chainage d'arase;m³;187 500;197 915;215 000
03.1.1.4.2.0.005;Béton armé dosé à 350 kg/m³ pour élément décoratif;m³;187 500;197 915;215 000
03.1.1.4.2.0.006;Béton armé dosé à 350 kg/m³ pour linteaux;m³;187 500;197 915;215 000
03.1.1.4.2.0.007;Béton armé dosé à 350 kg/m³ pour poteaux;m³;187 500;197 915;215 000
03.1.1.4.2.0.008;Béton armé dosé à 350 kg/m³ pour poutres;m³;187 500;197 915;215 000
03.1.1.4.2.0.009;Béton armé dosé à 350 kg/m³ pour raidisseurs;m³;187 500;197 915;215 000
03.1.1.4.2.0.010;Béton armé pour acrotère (appui de tôle)dosé à 350 kg/m³;m³;187 500;197 915;215 000
03.1.1.4.2.0.011;Béton armé pour chainage rampant dosé à 350kg/m³;m³;187 500;197 915;215 000
03.1.1.4.2.0.012;Béton armé pour dalle de compression dosé à 350kg/m³;m³;187 500;197 915;215 000
03.1.1.4.2.0.013;Béton armé pour dalle pleine dosé à 350kg/m³;m³;187 500;197 915;215 000
03.1.1.4.2.0.014;Béton armé pour escaliers dosé à 350kg/m³;m³;187 500;197 915;215 000
03.1.1.4.2.0.016;Béton légèrement armé pour estrade dosé à 300kg/m³;m³;155 000;164 165;170 000
03.1.1.4.2.0.017;Béton non armé dosé à 300 kg/m³ pour estrade et marche d'entrée;m³;130 000;136 250;140 000
03.1.1.4.2.0.018;Béton non armé pour marche et rampe dosé à 300kg/m³;m³;130 000;136 250;140 000
03.1.1.4.2.0.019;Béton armé hydrofuge dosé à 400kg/m³;m³;210 000;221 665;240 000
03.1.1.4.2.0.020;Chape lisse et bouchardé;m²;6 000;6 415;7 000
03.1.1.4.2.0.022;Claustras de ventilation munis de grillage anti insectes;unité;1 250;1 375;1 500
03.1.1.4.2.0.023;Enduit  lisse dosé à 600kg/m³ en sous face plancher;m²;5 900;5 980;6 000
03.1.1.4.2.0.024;Enduit  lisse dosé à 600kg/m³ pour tableau noir d'épaisseur 6 cm y compris grillage poulailler;m²;5 900;6 080;6 500
03.1.1.4.2.0.025;Enduit extérieur d'esthétique dosé à 400kg/m³ d'épaisseur 2,50 cm sur la façade;m²;5 300;5 740;6 000
03.1.1.4.2.0.026;Enduit extérieur taloché dosé à 400kg/m³ d'épaisseur 2,50 cm;m²;5 300;5 740;6 000
03.1.1.4.2.0.027;Enduit intérieur bicouche  dosé à 400kg/m³ d'épaisseur 4,00 cm y compris raccordement;m²;5 300;5 740;6 000
03.1.1.4.2.0.028;Enduit intérieur lissé dosé à 400kg/m³ d'épaisseur 2,50 cm;m²;5 300;5 740;6 000
03.1.1.4.2.0.029;Enduit intérieur dosé à 400kg/m³ d'épaisseur 2,50 cm y compris raccordement et calfeutrement;m²;5 300;5 740;6 000
03.1.1.4.2.0.030;Enduits tyroliens au ciment blanc écrasés;m²;2 500;2 750;3 000
03.1.1.4.2.0.031;Fourniture et pose de polystyrène de 0,10 cm pour joint de dilatation;m²;2 500;2 750;3 000
03.1.1.4.2.0.032;Fourniture et pose de polystyrène de 0,10 cm pour joint de dilatation avec couvre joint en alu;ml;1 250;1 370;1 500
03.1.1.4.2.0.033;Fourniture et pose de polystyrène de 2 cm pour joint de dilation;m²;5 000;5 250;5 500
03.1.1.4.2.0.034;Fourniture et pose de polystyrène de 2 cm pour joint de dilatation avec couvre joint en alu;ml;1 600;1 720;1 850
03.1.1.4.2.0.035;Fourniture et pose de polystyrène de 2,5 cm pour joint de dilatation avec couvre joint en alu;ml;4 100;4 220;4 350
03.1.1.4.2.0.036;Fourniture et pose de polystyrène de 2,5 cm  pour joint de dilation;m²;10 000;10 250;10 500
03.1.1.4.2.0.037;Lit de sable sous dalle d'une épaisseur de 5 cm;m²;1 125;1 200;1 250
03.1.1.4.2.0.038;Maçonnerie d'agglos creux de 10x20x40 cm confectionné manuellement;m²;5 250;5 650;6 000
03.1.1.4.2.0.040;Maçonnerie d'agglos creux de 20x20x40 cm confectionné manuellement;m²;10 250;10 650;11 000
03.1.1.4.2.0.041;Maçonnerie d'agglos creux de 10x20x40 cm confectionné mécaniquement;m²;7 250;7 650;8 000
03.1.1.4.2.0.042;Maçonnerie d'agglos creux de 15x20x40 cm confectionné mécaniquement;m²;10 250;10 650;11 000
03.1.1.4.2.0.043;Maçonnerie d'agglos creux de 20x20x40 cm  confectionné mécaniquement;m²;13 250;13 650;14 000
03.1.1.4.2.0.044;Maçonnerie en brique pleine de terre cuite de 22x11x5 cm;m²;15 000;15 465;16 000
03.1.1.4.2.0.045;Maçonnerie en brique pleine de terre cuite de 30x14x6 cm;m²;16 000;16 800;17 500
03.1.1.4.2.0.046;Maçonnerie en brique pleine de terre cuite de 30x14x7 cm;m²;16 000;16 800;17 500
03.1.1.4.2.0.047;Maçonnerie en brique pleine de terre cuite de 30x14x8 cm;m²;17 000;18 465;20 000
03.1.1.4.2.0.048;Revêtement en briquette céramique 22x5x2 cm;m²;21 000;22 965;25 000
03.1.1.4.2.0.049;Revêtement en plaquette céramique 22x11x2 cm;m²;21 000;22 965;25 000
03.1.1.4.2.0.050;Revêtement en briquette de terre cuite 22x5x2 cm;m²;21 000;22 965;25 000
03.1.1.4.2.0.051;Maçonnerie en brique pleine céramique de 30x14x8 cm;m²;21 000;22 965;25 000
03.1.1.4.2.0.052;Maçonnerie en bloc latéritique taillé (BLT) de 40x20x15 cm pour mur porteur;m²;12 500;13 750;15 000
03.1.1.4.2.0.053;Maçonnerie en bloc latéritique taillé (BLT) de 40x15x15 cm pour mur porteur;m²;12 500;13 750;15 000
03.1.1.4.2.0.054;Maçonnerie en bloc latéritique taillé (BLT) de 30x20x15 cm pour mur porteur;m²;12 500;13 750;15 000
03.1.1.4.2.0.055;Maçonnerie en bloc latéritique taillé (BLT) de 30x15x15 cm pour mur remplissage;m²;12 500;13 750;15 000
03.1.1.4.2.0.056;Maçonnerie en bloc latéritique taillé (BLT) de 20x15x15 cm pour mur remplissage;m²;12 500;13 750;15 000
03.1.1.4.2.0.057;Plancher en hourdis corps creux de 15+5 cm;m²;42 500;45 050;48 000
03.1.1.4.2.0.059;Plancher corps creux de 15+5 cm  en hourdis confectionné mécaniquement;m²;62 500;66 200;72 000
03.1.1.4.2.0.060;Plancher corps creux de 16+4 cm en hourdis confectionné mécaniquement;m²;62 500;66 200;72 000
03.1.1.4.2.0.061;Raccordement et calfeutrement des ouvertures;m²;10 000;10 400;11 000
03.1.1.5;MENUISERIE;;;;
03.1.1.5.1;MENUISERIE METALLIQUE;;;;
03.1.1.5.1.0.001;Fourniture et pose de panne en IPE 80 traité à l'anti rouille;ml;11 500;12 335;13 000
03.1.1.5.1.0.002;Fourniture et pose de panne en IPE 80 traité à l'anti rouille;kg;2 500;2 610;2 700
03.1.1.5.1.0.003;Fourniture et pose de panne en IPE 100 traité de l'antirouille;ml;13 500;14 165;15 000
03.1.1.5.1.0.004;Fourniture et pose de panne en IPE 100 traité de l'antirouille;kg;2 500;2 610;2 700
03.1.1.5.1.0.005;Fourniture et pose de panne en IPE 120 traité à l'anti rouille;ml;16 000;16 665;17 500
03.1.1.5.1.0.006;Fourniture et pose de panne en IPE 120 traité à l'anti rouille;kg;3 250;3 360;3 450
03.1.1.5.1.0.007;Fourniture et pose de panne en IPE 140  traité à l'antirouille;ml;19 500;20 165;21 000
03.1.1.5.1.0.008;Fourniture et pose de panne en IPE 140 traité à l'antirouille;kg;3 750;3 860;3 950
03.1.1.5.1.0.009;Fourniture et pose de panne en IPN 80  traité à l'anti rouille;ml;10 000;10 835;11 500
03.1.1.5.1.0.010;Fourniture et pose de panne en IPN 80 traité à l'anti rouille;kg;2 375;2 485;2 575
03.1.1.5.1.0.011;Fourniture et pose de panne en IPN 100  traité de l'antirouille;ml;10 500;11 335;12 000
03.1.1.5.1.0.012;Fourniture et pose de panne en IPN 100 traité de l'antirouille;kg;2 625;2 735;2 825
03.1.1.5.1.0.013;Fourniture et pose de panne en IPN 120  traité à l'anti rouille;ml;11 250;12 085;12 750
03.1.1.5.1.0.014;Fourniture et pose de panne en IPN 120 traité à l'anti rouille;kg;3 375;3 485;3 575
03.1.1.5.1.0.015;Fourniture et pose de panne en IPN 140  traité à l'antirouille;ml;12 000;12 835;13 500
03.1.1.5.1.0.016;Fourniture et pose de panne en IPN 140 traité à l'antirouille;kg;3 625;3 735;3 825
03.1.1.5.1.0.017;Fourniture et pose de panne en tube métallique rectangulaire de 60x60 cm d'épaisseur 3 mm traité de l'antirouille;ml;4 800;5 100;5 500
03.1.1.5.1.0.018;Fourniture et pose de panne en tube métallique rectangulaire de 100x60 d'épaisseur 3 mm traité de l'antirouille;ml;6 050;6 350;6 750
03.1.1.5.1.0.020;Fourniture et pose de panne en tube métallique rectangulaire de 60x80 d'épaisseur 3 mm  traité de l'antirouille;ml;7 150;7 450;7 850
03.1.1.5.1.0.021;Fourniture et pose de grille de protection métallique  en tube carré de 30x30 d'épaisseur 10/10ème;ml;5 150;5 450;5 850
03.1.1.5.1.0.022;Fourniture et pose de grille de protection métallique 60x60 en tube carré de 30x30 d'épaisseur 10/10ème;Unité;10 000;11 000;12 000
03.1.1.5.1.0.023;Fourniture et pose de grille de protection métallique 60x80 en tube carré de 30x30 d'épaisseur 10/10ème;Unité;10 250;11 250;12 250
03.1.1.5.1.0.024;Fourniture et pose de grille de protection métallique 80x80 en tube carré de 30x30 d'épaisseur 10/10ème;Unité;10 750;11 750;12 750
03.1.1.5.1.0.025;Fourniture et pose de grille de protection métallique 120x120 en tube carré de 30x30 d'épaisseur 10/10ème;Unité;11 750;12 750;13 750
03.1.1.5.1.0.026;Fourniture et pose de grille de protection métallique 120x150 en tube carré de 30x30 d'épaisseur 10/10ème;Unité;13 000;14 000;15 000
03.1.1.5.1.0.027;Fourniture et pose de grille de protection métallique 340x40 en tube carré de 30x30 d'épaisseur 10/10ème;Unité;10 750;11 750;12 750
03.1.1.5.1.0.028;Fourniture et pose de grille de protection métallique en tube carré de 30x30 d'épaisseur 15/10ème :;ml;5 400;5 700;6 100
03.1.1.5.1.0.029;Fourniture et pose de grille de protection métallique 60x60 en tube carré de 30x30 d'épaisseur 15/10ème;Unité;10 500;11 390;12 350
03.1.1.5.1.0.030;Fourniture et pose de grille de protection métallique 60x80 en tube carré de 30x30 d'épaisseur 15/10ème;Unité;11 250;12 140;13 100
03.1.1.5.1.0.031;Fourniture et pose de grille de protection métallique 80x80 en tube carré de 30x30 d'épaisseur 15/10ème;Unité;12 250;13 140;14 100
03.1.1.5.1.0.032;Fourniture et pose de grille de protection métallique 120x120 en tube carré de 30x30 d'épaisseur 15/10ème;Unité;13 750;14 640;15 600
03.1.1.5.1.0.034;Fourniture et pose de grille de protection métallique 340x40 en tube carré de 30x30 d'épaisseur 15/10ème;Unité;10 750;11 640;12 600
03.1.1.5.1.0.035;Fourniture et pose de grille de protection métallique  en tube carré de 27x40 d'épaisseur 10/10ème;ml;4 900;5 200;5 600
03.1.1.5.1.0.036;Fourniture et pose de grille de protection métallique 60x60 en tube carré de 27x40 d'épaisseur 10/10ème;Unité;8 000;8 565;9 250
03.1.1.5.1.0.037;Fourniture et pose de grille de protection métallique 60x80 en tube carré de 27x40 d'épaisseur 10/10ème;Unité;8 250;8 815;9 500
03.1.1.5.1.0.038;Fourniture et pose de grille de protection métallique 80x80 en tube carré de 27x40 d'épaisseur 10/10ème;Unité;8 500;9 065;9 750
03.1.1.5.1.0.039;Fourniture et pose de grille de protection métallique 120x120 en tube carré de 27x40 d'épaisseur 10/10ème;Unité;9 750;10 315;11 000
03.1.1.5.1.0.040;Fourniture et pose de grille de protection métallique 120x150 en tube carré de 27x40 d'épaisseur 10/10ème;Unité;11 000;11 565;12 250
03.1.1.5.1.0.041;Fourniture et pose grille de protection métallique 340x40  en tube carré de 27x40 d'épaisseur 10/10ème;Unité;7 500;8 065;8 750
03.1.1.5.1.0.042;Fourniture et pose de grille de protection métallique  en tube carré de 27x40 d'épaisseur 15/10ème;ml;5 150;5 450;5 850
03.1.1.5.1.0.043;Fourniture et pose de grille de protection métallique 60x60 en tube carré de 27x40 d'épaisseur 15/10ème;Unité;9 250;9 815;10 500
03.1.1.5.1.0.044;Fourniture et pose de grille de protection métallique 60x80 en tube carré de 27x40 d'épaisseur 15/10ème;Unité;9 500;10 065;10 750
03.1.1.5.1.0.045;Fourniture et pose de grille de protection métallique 80x80 en tube carré de 27x40 d'épaisseur 15/10ème;Unité;9 750;10 315;11 000
03.1.1.5.1.0.046;Fourniture et pose de grille de protection métallique 120x120 en tube carré de 27x40 d'épaisseur 15/10ème;Unité;11 000;11 565;12 250
03.1.1.5.1.0.048;Fourniture et pose de grille de protection métallique 340x40 en tube carré de 27x40 d'épaisseur 15/10ème;Unité;8 500;9 065;9 750
03.1.1.5.1.0.049;Fourniture et pose de fenêtre métallique persienne à lames fixes ou orientables 60x60 à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;25 000;27 500;30 000
03.1.1.5.1.0.050;Fourniture et pose de fenêtre métallique persienne à lames fixes ou orientables 60x80  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;27 500;30 215;31 900
03.1.1.5.1.0.051;Fourniture et pose de fenêtre métallique persienne à lames fixes 80x80  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;35 800;37 515;40 000
03.1.1.5.1.0.052;Fourniture et pose imposte métallique persienne à lames fixes ou orientables 340x50 à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;47 000;51 710;56 600
03.1.1.5.1.0.053;Fourniture et pose de fenêtre métallique persienne à lames fixes ou orientables 120x120  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;61 700;63 400;65 000
03.1.1.5.1.0.054;Fourniture et pose de fenêtre métallique persienne à lames fixes ou orientables120x150  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;69 200;71 815;75 000
