Groupe 1 : Bâtiments et Infrastructures Sportives;;;;;
Code;Désignation/Caractéristiques;;Minimum;Moyen;Maximum
03.1.1.4.0.037;Maçonnerie d'agglos creux au mortier de ciment  de 20x20x40 cm;m²;9 000;10 000;11 000
03.1.1.4.0.038;Maçonnerie d'agglos creux au mortier de ciment de 10x20x40 cm avec agglos confectionné mécaniquement;m²;13 000;14 000;15 000
03.1.1.4.0.039;Maçonnerie d'agglos creux au mortier de ciment de 15x20x40 cm avec agglos confectionné mécaniquement;m²;15 000;16 000;17 000
03.1.1.4.0.040;Maçonnerie d'agglos creux au mortier de ciment de 20x20x40 cm avec agglos confectionné mécaniquement;m²;17 000;17 665;18 500
03.1.1.4.0.041;Raccordement et calfeutrement des ouvertures;m²;8 000;10 335;13 000
03.1.1.4.0.042;Maçonnerie en brique pleine de terre cuite de 22x11x5 cm;m²;50 000;56 665;65 000
03.1.1.4.0.043;Maçonnerie en brique pleine de terre cuite de 30x14x6 cm;m²;27 500;31 665;37 500
03.1.1.4.0.044;Maçonnerie en brique pleine de terre cuite de 30x14x7 cm;m²;27 500;31 665;37 500
03.1.1.4.0.045;Maçonnerie en brique pleine de terre cuite de 30x14x8 cm;m²;27 500;31 665;37 500
03.1.1.4.0.046;Revêtement en briquette céramique  22x5x2;m²;14 000;15 165;16 500
03.1.1.4.0.047;Revêtement en plaquette céramique  22x11x2;m²;14 000;15 165;16 500
03.1.1.4.0.048;Revêtement en briquette de terre cuite 22x5x2;m²;14 000;15 165;16 500
03.1.1.4.0.049;Maçonnerie en brique pleine céramique  de 30x14x8 cm pour incinérateur;m²;27 500;31 665;37 500
03.1.1.4.0.050;Maçonnerie en bloc latéritique taillé (BLT) de 40x20x15 cm pour mur porteur;m²;12 500;15 000;17 500
03.1.1.4.0.051;Maçonnerie en bloc latéritique taillé (BLT) de 40x15x15 cm pour mur porteur;m²;12 500;15 000;17 500
03.1.1.4.0.052;Maçonnerie en bloc latéritique taillé (BLT) de 30x20x15 cm pour mur porteur;m²;12 500;15 000;17 500
03.1.1.4.0.053;Maçonnerie en bloc latéritique taillé (BLT) de 30x15x15 cm pour mur remplissage;m²;12 500;15 000;17 500
03.1.1.4.0.054;Maçonnerie en bloc latéritique taillé (BLT) de 20x15x15 cm pour mur remplissage;m²;12 500;15 000;17 500
03.1.1.5;MENUISERIE MÉTALLIQUE , BOIS ET ALLUMINIUM;;;;
03.1.1.5.0.001;Fourniture et pose de grille de protection métallique 60x60 en tube carré de 30x30 d'épaisseur 10/10ème;Unité;10 000;12 335;15 000
03.1.1.5.0.002;Fourniture et pose de grille de protection métallique 60x80 en tube carré de 30x30 d'épaisseur 10/10ème;Unité;10 000;13 000;16 000
03.1.1.5.0.003;Fourniture et pose de grille de protection métallique 80x80 en tube carré de 30x30 d'épaisseur 10/10ème;Unité;12 000;14 335;17 000
03.1.1.5.0.004;Fourniture et pose de grille de protection métallique 120x120 en tube carré de 30x30 d'épaisseur 10/10ème;Unité;30 000;32 500;35 000
03.1.1.5.0.005;Fourniture et pose de grille de protection métallique 120x150 en tube carré de 30x30 d'épaisseur 10/10ème;Unité;35 000;40 000;45 000
03.1.1.5.0.006;Fourniture et pose de grille de protection métallique 340x40 en tube carré de 30x30 d'épaisseur 10/10ème;Unité;50 000;55 000;60 000
03.1.1.5.0.007;Fourniture et pose de grille de protection métallique 60x60 en tube carré de 30x30 d'épaisseur 15/10ème;Unité;12 000;15 000;18 000
03.1.1.5.0.008;Fourniture et pose de grille de protection métallique 60x80 en tube carré de 30x30 d'épaisseur 15/10ème;Unité;15 000;16 665;19 000
03.1.1.5.0.009;Fourniture et pose de grille de protection métallique 80x80 en tube carré de 30x30 d'épaisseur 15/10ème;Unité;15 000;17 335;20 000
03.1.1.5.0.010;Fourniture et pose de grille de protection métallique 120x120 en tube carré de 30x30 d'épaisseur 15/10ème;Unité;45 000;50 000;55 000
03.1.1.5.0.011;Fourniture et pose de grille de protection métallique 120x150 en tube carré de 30x30 d'épaisseur 15/10ème;Unité;55 000;60 000;65 000
03.1.1.5.0.012;Fourniture et pose de grille de protection métallique 340x40 en tube carré de 30x30 d'épaisseur 15/10ème;Unité;40 000;45 000;50 000
03.1.1.5.0.013;Fourniture et pose de grille de protection métallique 60x60  en tube carré de 27x40 d'épaisseur 10/10ème;Unité;10 000;12 335;15 000
03.1.1.5.0.014;Fourniture et pose de grille de protection métallique 60x80  en tube carré de 27x40 d'épaisseur 10/10ème;Unité;12 000;13 665;16 000
03.1.1.5.0.015;Fourniture et pose de grille de protection métallique 80x80  en tube carré de 27x40 d'épaisseur 10/10ème;Unité;12 000;14 335;17 000
03.1.1.5.0.016;Fourniture et pose de grille de protection métallique 120x120  en tube carré de 27x40 d'épaisseur 10/10ème;Unité;25 000;27 500;30 000
03.1.1.5.0.017;Fourniture et pose de grille de protection métallique 120x150  en tube carré de 27x40 d'épaisseur 10/10ème;Unité;30 000;35 000;40 000
03.1.1.5.0.018;Fourniture et pose de grille de protection métallique 340x40  en tube carré de 27x40 d'épaisseur 10/10ème;Unité;25 000;30 000;35 000
03.1.1.5.0.019;Fourniture et pose de grille de protection métallique 60x60 en tube carré de 27x40 d'épaisseur 15/10ème;Unité;15 000;19 000;22 000
03.1.1.5.0.020;Fourniture et pose de grille de protection métallique 60x80 en tube carré de 27x40 d'épaisseur 15/10ème;Unité;20 000;25 000;30 000
03.1.1.5.0.021;Fourniture et pose de grille de protection métallique 80x80 en tube carré de 27x40 d'épaisseur 15/10ème;Unité;25 000;30 000;35 000
03.1.1.5.0.022;Fourniture et pose de grille de protection métallique 120x120 en tube carré de 27x40 d'épaisseur 15/10ème;Unité;35 000;40 000;45 000
03.1.1.5.0.023;Fourniture et pose de grille de protection métallique 120x150 en tube carré de 27x40 d'épaisseur 15/10ème;Unité;40 000;45 000;50 000
03.1.1.5.0.024;Fourniture et pose de grille de protection métallique 340x40 en tube carré de 27x40 d'épaisseur 15/10ème;Unité;30 000;35 000;40 000
03.1.1.5.0.025;Fourniture et pose de grille de protection alu de 60 x 60, épaisseur du profilé 1,8mm, surface anodisée et raccordement divers;Unité;30 000;34 165;40 000
03.1.1.5.0.026;Fourniture et pose de grille de protection alu de 100 x 60, épaisseur du profilé 1,8mm, surface anodisée et raccordement divers;Unité;40 000;42 500;45 000
03.1.1.5.0.027;Fourniture et pose de grille de protection alu de 120x 120, épaisseur du profilé 1,8mm, surface anodisée et raccordement divers;Unité;40 000;45 000;50 000
03.1.1.5.0.028;Fourniture et pose de grille de protection alu de 170 x 120, épaisseur du profilé 1,8mm, surface anodisée et raccordement divers;Unité;40 000;47 500;55 000
03.1.1.5.0.029;Fourniture et pose de grille de protection alu de 180 x 120, épaisseur du profilé 1,8mm, surface anodisée et raccordement divers;Unité;45 000;51 665;60 000
03.1.1.5.0.030;Fourniture et pose de grille de protection alu de 200 x 120, épaisseur du profilé 1,8mm, surface anodisée et raccordement divers;Unité;55 000;60 000;65 000
03.1.1.5.0.031;Fourniture et pose de grille de protection alu de 250 x 120, épaisseur du profilé 1,8mm, surface anodisée et raccordement divers;Unité;55 000;61 665;70 000
03.1.1.5.0.032;Fourniture et pose de grille de protection alu de 285 x 120, épaisseur du profilé 1,8mm, surface anodisée et raccordement divers;Unité;65 000;70 000;75 000
03.1.1.5.0.033;Fourniture et pose de grille de protection alu de 300 x 120, épaisseur du profilé 1,8mm, surface anodisée et raccordement divers;Unité;70 000;75 000;80 000
03.1.1.5.0.034;Fourniture et pose de grille de protection alu de 385 x 120, épaisseur du profilé 1,8mm, surface anodisée et raccordement divers;Unité;75 000;80 000;85 000
03.1.1.5.0.035;Fourniture et pose de fenêtre métallique persienne à lames fixes ou orientables 60x60 à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;18 000;21 000;25 000
03.1.1.5.0.036;Fourniture et pose de fenêtre métallique persienne à lames fixes ou orientables 60x80  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;25 000;30 000;35 000
03.1.1.5.0.037;Fourniture et pose de fenêtre métallique persienne à lames fixes 80x80  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;32 000;35 665;40 000
03.1.1.5.0.038;Fourniture et pose de fenêtre métallique persienne à lames fixes ou orientables 120x120  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;65 000;72 335;80 000
03.1.1.5.0.039;Fourniture et pose de fenêtre métallique persienne à lames fixes ou orientables120x150  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;85 000;90 000;95 000
03.1.1.5.0.040;Fourniture et pose de fenêtre métallique persienne à lames fixes ou orientables 340x40  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;65 000;67 665;70 000
03.1.1.5.0.041;Fourniture et pose de fenêtre métallique persienne à lames orientables 60x60 à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;17 000;20 000;32 500
03.1.1.5.0.042;Fourniture et pose de fenêtre métallique persiennée avec grille de protection métallique 60x60  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;33 000;39 335;45 000
03.1.1.5.0.043;Fourniture et pose de fenêtre métallique persiennée avec grille de protection métallique 60x80 à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;45 000;53 335;65 000
03.1.1.5.0.044;Fourniture et pose de fenêtre métallique persiennée avec grille de protection métallique 80x80 à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;60 000;75 000;90 000
03.1.1.5.0.045;Fourniture et pose de fenêtre métallique persiennée avec grille de protection métallique 120x120 à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;95 000;110 000;125 000
03.1.1.5.0.046;Fourniture et pose de fenêtre métallique persiennée avec grille de protection métallique 120x150 à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;110 000;126 665;145 000
03.1.1.5.0.047;Fourniture et pose de fenêtre métallique persiennée avec grille de protection métallique 340x40  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;95 000;101 665;110 000
03.1.1.5.0.048;Fourniture et pose de fenêtre métallique vitrée 60x60 à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;32 500;39 165;45 000
03.1.1.5.0.049;Fourniture et pose de fenêtre métallique vitrée  60x80  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;45 000;50 000;55 000
03.1.1.5.0.050;Fourniture et pose de fenêtre métallique vitrée  80x80  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;60 000;65 000;70 000
03.1.1.5.0.051;Fourniture et pose de fenêtre métallique vitrée  120x120  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;115 000;130 000;145 000
03.1.1.5.0.052;Fourniture et pose de fenêtre métallique vitrée  120x150 à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;150 000;163 335;175 000
03.1.1.5.0.053;Fourniture et pose de fenêtre métallique vitrée  340x40  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;115 000;125 000;135 000
03.1.1.5.0.054;Fourniture et pose de fenêtre métallique vitrée 60x60 y compris grille de protection  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;55 000;60 000;65 000
03.1.1.5.0.055;Fourniture et pose de fenêtre métallique vitrée  60x80 y compris grille de protection  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;60 000;68 335;75 000
03.1.1.5.0.056;Fourniture et pose de fenêtre métallique vitrée  80x80 y compris grille de protection  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;85 000;91 665;100 000
03.1.1.5.0.057;Fourniture et pose de fenêtre métallique vitrée  120x120 y compris grille de protection  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;150 000;170 000;190 000
03.1.1.5.0.058;Fourniture et pose de fenêtre métallique vitrée  120x150 y compris grille de protection  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;190 000;201 665;215 000
03.1.1.5.0.059;Fourniture et pose de fenêtre métallique vitrée  340x40 y compris grille de protection  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;145 000;160 000;175 000
03.1.1.5.0.060;Fourniture et pose de fenêtre alu vitrée coulissante de 60 x 60,  épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;45 000;58 335;70 000
03.1.1.5.0.061;Fourniture et pose de fenêtre alu vitré coulissante de 100 x 60,  épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;72 000;84 000;95 000
03.1.1.5.0.062;Fourniture et pose de fenêtre  alu vitré coulissante  de 120x120,  épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;165 000;175 835;190 000
03.1.1.5.0.063;Fourniture et pose de fenêtre alu vitré coulissante  de 170 x 120,  épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;230 000;245 000;260 000
03.1.1.5.0.064;Fourniture et pose de fenêtre alu vitrée coulissante de 180x120,  épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;245 000;260 000;275 000
03.1.1.5.0.065;Fourniture et pose de fenêtre alu vitré coulissante  de 200 x 120,  épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;275 000;288 335;300 000
03.1.1.5.0.066;Fourniture et pose de fenêtre alu vitré coulissante  de 210 x 120,  épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;250 000;250 000;250 000
03.1.1.5.0.067;Fourniture et pose de fenêtre alu vitré coulissante  de 220 x 120,  épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;300 000;315 000;330 000
03.1.1.5.0.068;Fourniture et pose de fenêtre alu vitré coulissante  de 250 x 120,  épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;330 000;355 000;375 000
03.1.1.5.0.069;Fourniture et pose de fenêtre alu vitré coulissante  de 285 x 120,  épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;390 000;411 665;435 000
03.1.1.5.0.070;Fourniture et pose de fenêtre alu vitré coulissante  de 300 x 120,  épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;415 000;436 665;460 000
03.1.1.5.0.071;Fourniture et pose de fenêtre alu vitré coulissante  de 385 x 120,  épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;530 000;553 335;575 000
03.1.1.5.0.072;Fourniture et pose de fenêtre alu vitrée coulissante de 60 x 60 y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;75 000;96 665;115 000
03.1.1.5.0.073;Fourniture et pose de fenêtre alu vitré coulissante de 100 x 60  y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;115 000;126 665;140 000
03.1.1.5.0.074;Fourniture et pose de fenêtre  alu vitré coulissante  de 120x120 y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;215 000;226 665;240 000
03.1.1.5.0.075;Fourniture et pose de fenêtre alu vitré coulissante  de 170 x 120 y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;270 000;295 000;315 000
03.1.1.5.0.076;Fourniture et pose de fenêtre alu vitrée coulissante de 180x120 y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;295 000;316 665;335 000
03.1.1.5.0.077;Fourniture et pose de fenêtre alu vitré coulissante  de 200 x 120 y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;320 000;336 665;355 000
03.1.1.5.0.078;Fourniture et pose de fenêtre alu vitré coulissante  de 210 x 120 y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;350 000;350 000;350 000
03.1.1.5.0.079;Fourniture et pose de fenêtre alu vitré coulissante  de 220 x 120 y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;360 000;376 665;395 000
03.1.1.5.0.080;Fourniture et pose de fenêtre alu vitré coulissante  de 250 x 120 y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;385 000;410 000;445 000
03.1.1.5.0.081;Fourniture et pose de fenêtre alu vitré coulissante  de 285 x 120 y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;455 000;476 665;500 000
03.1.1.5.0.082;Fourniture et pose de fenêtre alu vitré coulissante  de 300 x 120 y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;485 000;511 665;540 000
03.1.1.5.0.083;Fourniture et pose de fenêtre alu vitré coulissante  de 385 x 120 y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;605 000;635 000;670 000
03.1.1.5.0.084;Fourniture et pose de porte isoplane en contreplaqué de 5mm de 60x220 y compris cadre métallique H70;Unité;65 000;70 000;75 000
03.1.1.5.0.085;Fourniture et pose de porte isoplane en contreplaqué de 5mm de 70x220 y compris cadre métallique H70;Unité;75 000;81 665;90 000
03.1.1.5.0.086;Fourniture et pose de porte isoplane en contreplaqué de 5mm 80x220 y compris cadre métallique H70;Unité;80 000;90 000;100 000
03.1.1.5.0.087;Fourniture et pose de porte isoplane en contreplaqué de 5mm de 90x220 y compris cadre métallique H70;Unité;90 000;100 000;110 000
03.1.1.5.0.088;Fourniture et pose de porte isoplane en contreplaqué de 5mm de 120x220 y compris cadre métallique H70;Unité;120 000;132 335;145 000
03.1.1.5.0.089;Fourniture et pose de porte isoplane capitonnée 60/220 y compris cadre métallique H70;Unité;115 000;131 665;150 000
03.1.1.5.0.090;Fourniture et pose de porte isoplane capitonnée 70/220 y compris cadre métallique H70;Unité;140 000;155 000;170 000
